WKT,GEOID,NAME,variable,estimate,moe
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B11001_001,2095,398
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B11001_006,0,14
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B15003_022,900,380
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B15003_023,645,207
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B15003_024,549,211
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B15003_025,527,293
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B17001_002,129,87
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B19013_001,167102,45557
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B23025_005,60,48
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B25001_001,2357,393
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B25002_003,262,163
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B25003_002,711,246
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B25003_003,1384,372
"POLYGON ((-77.046268 38.916596,-77.044781 38.919052,-77.044398 38.919664,-77.043143 38.922334,-77.042684 38.922661,-77.041704 38.919659,-77.041656 38.91678,-77.043436 38.915888,-77.046088 38.914434,-77.046285 38.915991,-77.046268 38.916596))","11001004002","Census Tract 40.02; District of Columbia; District of Columbia",B25064_001,2495,584
"POLYGON ((-76.994962 38.889806,-76.991533 38.889805,-76.991544 38.889226,-76.988316 38.889243,-76.98832 38.889795,-76.985506 38.889803,-76.983645 38.889801,-76.983653 38.887086,-76.988311 38.886017,-76.99153 38.885098,-76.993763 38.884585,-76.99496 38.884604,-76.994962 38.887594,-76.994962 38.889806))","11001006700","Census Tract 67; District of Columbia; District of Columbia",B01003_001,3930,375
