tract,year,shift,total_crimes,violent_crimes,property_crimes,nearest_station,dist_to_nearest_metro,name,nearest_station_id,stations_within_400m,stations_within_800m,line,above_ground,transfer_station,total_population,median_household_income,log_pop,pct_white,pct_black_nh,pct_hispanic,pct_bachelors_only,pct_graduate,pct_poverty,pct_unemployed,pct_single_parent,pct_renter,pct_vacant,red_line,green_line,yellow_line,blue_line,orange_line,silver_line,blue_orange_silver_line,green_yellow_line
"Census Tract 110.01, District of Columbia, District of Columbia",2020,EVENING,9,1,8,Waterfront,295.4349139445079,Waterfront,MetroStnPt_38,1,1,green,0,0,2345,115114,7.76004068088038,0.46780383795309166,0.3257995735607676,0.14840085287846483,0.3292110874200426,0.3931769722814499,0.04776119402985075,0.0042643923240938165,0.03369175627240143,0.5445062586926287,0.029902642559109873,0,1,0,0,0,0,0,1
"Census Tract 25.04, District of Columbia, District of Columbia",2020,EVENING,45,6,39,Georgia Ave Petworth,850.5251453911787,Georgia Ave Petworth,MetroStnPt_6,0,0,green,0,0,3867,79647,8.260234291607297,0.19110421515386605,0.23247995862425652,0.45047840703387637,0.12438582880786139,0.23015257305404707,0.15334884923713474,0.027152831652443754,0.11645379413974455,0.5074404761904762,0.009672619047619048,0,1,0,0,0,0,0,1
"Census Tract 8.03, District of Columbia, District of Columbia",2020,EVENING,3,0,3,Tenleytown-AU,1722.4522583967325,Tenleytown-AU,MetroStnPt_4,0,0,red,0,0,2523,121417,7.833203948641057,0.6444708680142688,0.06341656757827982,0.09353943717796274,0.19896948077685295,0.4546175188267935,0.22314704716607214,0.04716607213634562,0.023405972558514933,0.17993311036789297,0.17123745819397992,1,0,0,0,0,0,0,0
"Census Tract 58.01, District of Columbia, District of Columbia",2020,EVENING,35,4,31,Gallery Pl-Chinatown,149.28421290802817,Gallery Pl-Chinatown,MetroStnPt_23,2,4,"red, green, yellow",0,1,1992,114452,7.596894438144544,0.5396586345381527,0.10491967871485944,0.1430722891566265,0.24447791164658633,0.3820281124497992,0.2976907630522088,0.08082329317269077,0.0165016501650165,0.48819444444444443,0.15833333333333333,1,1,1,0,0,0,0,1
"Census Tract 4, District of Columbia, District of Columbia",2020,EVENING,11,1,10,Woodley Park-Zoo Adams Morgan,1177.411572190503,Woodley Park-Zoo Adams Morgan,MetroStnPt_10,0,0,red,0,0,1481,153397,7.300472814267799,0.5779878460499662,0.02160702228224173,0.13841998649561107,0.18163403106009454,0.47940580688723833,0.10330857528696827,0.002025658338960162,0.0726643598615917,0.2786206896551724,0.20275862068965517,1,0,0,0,0,0,0,0
"Census Tract 25.01, District of Columbia, District of Columbia",2020,EVENING,51,6,45,Georgia Ave Petworth,1074.305490543849,Georgia Ave Petworth,MetroStnPt_6,0,0,green,0,0,3392,143281,8.129174996911793,0.2818396226415094,0.35023584905660377,0.3419811320754717,0.10259433962264151,0.16833726415094338,0.09817216981132075,0.017099056603773585,0.18125643666323377,0.48050682261208577,0.05360623781676413,0,1,0,0,0,0,0,1
"Census Tract 68.02, District of Columbia, District of Columbia",2020,EVENING,31,3,28,Potomac Ave,412.82696339974024,Potomac Ave,MetroStnPt_36,0,2,"blue, orange, silver",0,0,2530,124722,7.835974581721566,0.5525691699604743,0.36640316205533596,0.043478260869565216,0.2810276679841897,0.27707509881422926,0.12529644268774703,0.04031620553359684,0.06290672451193059,0.36958710976837866,0.07150050352467271,0,0,0,1,1,1,1,0
"Census Tract 78.07, District of Columbia, District of Columbia",2020,EVENING,63,4,59,Deanwood,1628.4839683039584,Deanwood,MetroStnPt_15,0,0,orange,1,0,2336,49514,7.756195343948118,0.005565068493150685,0.952054794520548,0.023544520547945206,0.08090753424657535,0.014982876712328766,0.17679794520547945,0.2465753424657534,0.3652058432934927,0.5040091638029782,0.13745704467353953,0,0,0,0,1,0,1,0
"Census Tract 70, District of Columbia, District of Columbia",2020,EVENING,83,6,77,Eastern Market,374.3205018559895,Eastern Market,MetroStnPt_35,1,1,"blue, orange, silver",0,0,2794,149750,7.935229539816907,0.7344309234073013,0.06370794559770938,0.10057265569076593,0.2301360057265569,0.3937007874015748,0.016821760916249106,0.03042233357193987,0,0.3935643564356436,0.09818481848184818,0,0,0,1,1,1,1,0
"Census Tract 65, District of Columbia, District of Columbia",2020,EVENING,75,8,67,Capitol South,209.24726794316805,Capitol South,MetroStnPt_33,1,2,"blue, orange, silver",0,0,2939,118508,7.985824666418917,0.748553929908132,0.1105818305546104,0.11432460020415107,0.3678121810139503,0.30656685947601225,0.21265736645117386,0.0374276964954066,0.05132075471698113,0.30740037950664134,0.16192283364958887,0,0,0,1,1,1,1,0
"Census Tract 69, District of Columbia, District of Columbia",2020,EVENING,84,8,76,Potomac Ave,313.028884080865,Potomac Ave,MetroStnPt_36,1,2,"blue, orange, silver",0,0,2601,178611,7.8636512654486515,0.7670126874279123,0.12918108419838523,0.03806228373702422,0.21299500192233756,0.43252595155709345,0.030757400999615533,0.004229142637447136,0.041666666666666664,0.3486622073578595,0.056856187290969896,0,0,0,1,1,1,1,0
"Census Tract 80.01, District of Columbia, District of Columbia",2020,EVENING,64,6,58,Stadium Armory,1337.8299702072675,Stadium Armory,MetroStnPt_31,0,0,"blue, orange, silver",1,0,3226,167067,8.078998258685154,0.6636701797892126,0.2495350278983261,0.03874767513949163,0.2647241165530068,0.3360198388096714,0.0365778053316801,0.029138251704897707,0.11264534883720931,0.1544980443285528,0.10299869621903521,0,0,0,1,1,1,1,0
"Census Tract 13.03, District of Columbia, District of Columbia",2020,EVENING,55,1,54,Van Ness-UDC,529.6565636294599,Van Ness-UDC,MetroStnPt_5,0,1,red,0,0,3433,88207,8.141189793457691,0.6705505388872706,0.14477133702301195,0.05942324497524031,0.3113894552869211,0.44567433731430234,0.09845616079230993,0.020681619574715992,0.0224609375,0.6067892503536068,0.034417727487034415,1,0,0,0,0,0,0,0
"Census Tract 106.01, District of Columbia, District of Columbia",2020,EVENING,139,11,128,NoMa - Gallaudet U,293.44231182890877,NoMa - Gallaudet U,MetroStnPt_16,1,1,red,1,0,1862,95758,7.529406457837013,0.47099892588614395,0.3356605800214823,0.06874328678839957,0.23147153598281417,0.3039742212674543,0.14070891514500536,0,0.07854406130268199,0.9321428571428572,0.06785714285714285,1,0,0,0,0,0,0,0
"Census Tract 47.03, District of Columbia, District of Columbia",2020,EVENING,104,6,98,Mt Vernon Sq - 7th St Convention Center,532.2844162802232,Mt Vernon Sq - 7th St Convention Center,MetroStnPt_17,0,2,"green, yellow",0,0,2947,89310,7.988542982737695,0.41092636579572445,0.16932473702069903,0.09331523583305056,0.18934509670851712,0.31964709874448594,0.23956565999321344,0.012555140821174076,0.013064133016627079,0.6554021894336031,0.19847691575440266,0,1,1,0,0,0,0,1
"Census Tract 39.01, District of Columbia, District of Columbia",2020,EVENING,52,6,46,Columbia Heights,708.3364721927985,Columbia Heights,MetroStnPt_9,0,1,green,0,0,2561,123465,7.848153086199526,0.6009371339320578,0.2397500976181179,0.04880905896134322,0.20773135493947675,0.5720421710269425,0.04880905896134322,7.809449433814916e-4,0,0.8005540166204986,0.06814404432132964,0,1,0,0,0,0,0,1
